jenis_kelamin,prodi,smta,jurusan,ayah,ibu,pendapatan,UN,IPK
Perempuan,TI,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Baik,Sangat Memuaskan
Perempuan,TI,SMAN,IPA,TINGGI,MENENGAH,2.000-5.000,Sangat Baik,Sangat Memuaskan
Laki-laki,TI,SMAN,IPA,TINGGI,DASAR,2.000-5.000,Sangat Baik,Sangat Memuaskan
Laki-laki,TI,MAN,IPS,MENENGAH,MENENGAH,500-1.000,Sangat Baik,Cumlaude
Laki-laki,TI,SMAN,IPA,TINGGI,TINGGI,2.000-5.000,Baik,Sangat Memuaskan
Laki-laki,TI,MAN,IPS,MENENGAH,TINGGI,2.000-5.000,Sangat Baik,Cumlaude
Laki-laki,TI,MAN,IPS,TINGGI,TINGGI,5.000-20.000,Baik,Cumlaude
Perempuan,TI,SMAN,IPS,DASAR,MENENGAH,500-1.000,Baik,Sangat Memuaskan
Perempuan,TI,MAN,IPA,MENENGAH,DASAR,500-1.000,Baik,Sangat Memuaskan
Laki-laki,TI,MAN,IPS,DASAR,MENENGAH,100-500,Baik,Cumlaude
